RefImageName,NoiseType,NoisyImage
./nn_data/pokemon/raw/165.png,1,0.png
./nn_data/pokemon/raw/163.png,1,1.png
./nn_data/pokemon/raw/129.png,3,2.png
./nn_data/pokemon/raw/84.png,0,3.png
./nn_data/pokemon/raw/181.png,0,4.png
./nn_data/pokemon/raw/22.png,0,5.png
./nn_data/pokemon/raw/133.png,2,6.png
./nn_data/pokemon/raw/11.png,2,7.png
./nn_data/pokemon/raw/157.png,0,8.png
./nn_data/pokemon/raw/37.png,0,9.png
./nn_data/pokemon/raw/168.png,1,10.png
./nn_data/pokemon/raw/192.png,2,11.png
./nn_data/pokemon/raw/69.png,1,12.png
./nn_data/pokemon/raw/8.png,2,13.png
./nn_data/pokemon/raw/198.png,2,14.png
./nn_data/pokemon/raw/1.png,3,15.png
./nn_data/pokemon/raw/28.png,0,16.png
./nn_data/pokemon/raw/32.png,1,17.png
./nn_data/pokemon/raw/149.png,1,18.png
./nn_data/pokemon/raw/73.png,1,19.png
./nn_data/pokemon/raw/32.png,2,20.png
./nn_data/pokemon/raw/98.png,3,21.png
./nn_data/pokemon/raw/178.png,1,22.png
./nn_data/pokemon/raw/143.png,0,23.png
./nn_data/pokemon/raw/119.png,3,24.png
./nn_data/pokemon/raw/46.png,0,25.png
./nn_data/pokemon/raw/38.png,0,26.png
./nn_data/pokemon/raw/150.png,0,27.png
./nn_data/pokemon/raw/27.png,2,28.png
./nn_data/pokemon/raw/178.png,0,29.png
./nn_data/pokemon/raw/14.png,3,30.png
./nn_data/pokemon/raw/135.png,0,31.png
./nn_data/pokemon/raw/7.png,2,32.png
./nn_data/pokemon/raw/92.png,0,33.png
./nn_data/pokemon/raw/113.png,3,34.png
./nn_data/pokemon/raw/53.png,1,35.png
./nn_data/pokemon/raw/44.png,1,36.png
./nn_data/pokemon/raw/104.png,1,37.png
./nn_data/pokemon/raw/168.png,0,38.png
./nn_data/pokemon/raw/58.png,0,39.png
./nn_data/pokemon/raw/7.png,2,40.png
./nn_data/pokemon/raw/122.png,3,41.png
./nn_data/pokemon/raw/94.png,0,42.png
./nn_data/pokemon/raw/65.png,3,43.png
./nn_data/pokemon/raw/135.png,0,44.png
./nn_data/pokemon/raw/70.png,0,45.png
./nn_data/pokemon/raw/53.png,0,46.png
./nn_data/pokemon/raw/62.png,2,47.png
./nn_data/pokemon/raw/59.png,2,48.png
./nn_data/pokemon/raw/163.png,2,49.png
./nn_data/pokemon/raw/28.png,3,50.png
./nn_data/pokemon/raw/69.png,1,51.png
./nn_data/pokemon/raw/7.png,1,52.png
./nn_data/pokemon/raw/169.png,2,53.png
./nn_data/pokemon/raw/164.png,2,54.png
./nn_data/pokemon/raw/127.png,2,55.png
./nn_data/pokemon/raw/42.png,0,56.png
./nn_data/pokemon/raw/111.png,0,57.png
./nn_data/pokemon/raw/52.png,2,58.png
./nn_data/pokemon/raw/156.png,2,59.png
./nn_data/pokemon/raw/132.png,0,60.png
./nn_data/pokemon/raw/190.png,1,61.png
./nn_data/pokemon/raw/158.png,3,62.png
./nn_data/pokemon/raw/40.png,2,63.png
./nn_data/pokemon/raw/73.png,3,64.png
./nn_data/pokemon/raw/9.png,2,65.png
./nn_data/pokemon/raw/74.png,2,66.png
./nn_data/pokemon/raw/117.png,0,67.png
./nn_data/pokemon/raw/62.png,2,68.png
./nn_data/pokemon/raw/30.png,3,69.png
./nn_data/pokemon/raw/121.png,1,70.png
./nn_data/pokemon/raw/95.png,1,71.png
./nn_data/pokemon/raw/78.png,0,72.png
./nn_data/pokemon/raw/134.png,3,73.png
./nn_data/pokemon/raw/106.png,2,74.png
./nn_data/pokemon/raw/27.png,2,75.png
./nn_data/pokemon/raw/166.png,3,76.png
./nn_data/pokemon/raw/138.png,3,77.png
./nn_data/pokemon/raw/139.png,3,78.png
./nn_data/pokemon/raw/12.png,1,79.png
./nn_data/pokemon/raw/149.png,2,80.png
./nn_data/pokemon/raw/197.png,3,81.png
./nn_data/pokemon/raw/5.png,1,82.png
./nn_data/pokemon/raw/20.png,0,83.png
./nn_data/pokemon/raw/79.png,2,84.png
./nn_data/pokemon/raw/63.png,0,85.png
./nn_data/pokemon/raw/28.png,3,86.png
./nn_data/pokemon/raw/167.png,2,87.png
./nn_data/pokemon/raw/0.png,2,88.png
./nn_data/pokemon/raw/94.png,1,89.png
./nn_data/pokemon/raw/32.png,3,90.png
./nn_data/pokemon/raw/8.png,2,91.png
./nn_data/pokemon/raw/67.png,3,92.png
./nn_data/pokemon/raw/145.png,3,93.png
./nn_data/pokemon/raw/37.png,3,94.png
./nn_data/pokemon/raw/184.png,2,95.png
./nn_data/pokemon/raw/29.png,2,96.png
./nn_data/pokemon/raw/33.png,3,97.png
./nn_data/pokemon/raw/43.png,3,98.png
./nn_data/pokemon/raw/22.png,0,99.png
./nn_data/pokemon/raw/165.png,2,100.png
./nn_data/pokemon/raw/180.png,1,101.png
./nn_data/pokemon/raw/64.png,2,102.png
./nn_data/pokemon/raw/35.png,2,103.png
./nn_data/pokemon/raw/147.png,1,104.png
./nn_data/pokemon/raw/106.png,0,105.png
./nn_data/pokemon/raw/86.png,0,106.png
./nn_data/pokemon/raw/95.png,3,107.png
./nn_data/pokemon/raw/96.png,2,108.png
./nn_data/pokemon/raw/199.png,2,109.png
./nn_data/pokemon/raw/128.png,0,110.png
./nn_data/pokemon/raw/7.png,2,111.png
./nn_data/pokemon/raw/159.png,3,112.png
./nn_data/pokemon/raw/191.png,2,113.png
./nn_data/pokemon/raw/47.png,2,114.png
./nn_data/pokemon/raw/14.png,2,115.png
./nn_data/pokemon/raw/182.png,3,116.png
./nn_data/pokemon/raw/15.png,2,117.png
./nn_data/pokemon/raw/82.png,3,118.png
